Set,Sentence,PrimeQuantifier,PrimeScope,Group,Verb,Prime_cor,Prim_incor,StimType,TrialOrder
F13,Le peintre chatouille le m&eacutecanicien,,,List17,NA,f_artist_mechanic.bmp,f_artist_detective.bmp,Filler,1
F38,Le peintre sent la chaise,,,List17,NA,f_painter_chair.bmp,f_photographer_chair.bmp,Filler,2
F34,La reine tient la cha&icircne,,,List17,NA,f_queen_necklace.bmp,f_girlfriend_necklace.bmp,Filler,3
P21,Chaque ballerine ne remarque pas le g&acircteau,chaque,negwide,List17,remarque,ballerina_cake_nwide.bmp,ballerina_cake_foil.bmp,Prime,4
T21,Chaque manifestant ne remarque pas le drapeau,chaque,negwide,List17,remarque,protester_flag_uwide.bmp,protester_flag_nwide.bmp,Target,5
F35,Le pr&eacutesentateur tient le cadeau,,,List17,NA,f_announcer_gift.bmp,f_announcer_loudhailer.bmp,Filler,6
F09,La fille touche la f&eacutee,,,List17,NA,f_girl_fairy.bmp,f_girl_champion.bmp,Filler,7
P14,Tous les enfant ne poursuivent pas le clown,tous,uwide,List17,poursuit,dwarf_clown_uwide.bmp,dwarf_clown_foil.bmp,Prime,8
T14,Chaque lion ne poursuit pas le gardien,tous,uwide,List17,poursuit,lion_zookeeper_uwide.bmp,lion_zookeeper_nwide.bmp,Target,9
F40,Le pr&ecirctre soul&egraveve la bible,,,List17,NA,f_preacher_bible.bmp,f_gangster_bible.bmp,Filler,10
F06,La princesse embrasse le g&eacuteant,,,List17,NA,f_princess_giant.bmp,f_elf_giant.bmp,Filler,11
P15,Tous les singes ne montent pas sur le mur,tous,uwide,List17,grimpe,monkey_wall_uwide.bmp,monkey_wall_foil.bmp,Prime,12
T15,Chaque randonneur ne monte pas sur la colline,tous,uwide,List17,grimpe,hiker_hill_uwide.bmp,hiker_hill_nwide.bmp,Target,13
F01,L'espion suit le roi,,,List17,NA,f_spy_king.bmp,f_spy_juggler.bmp,Filler,14
P16,Tous les porteurs n'attrapent pas la valise,tous,uwide,List17,attrape,porter_suitcase_uwide.bmp,porter_suitcase_foil.bmp,Prime,15
T16,Chaque cuisinier n'attrape pas l'assiette,tous,uwide,List17,attrape,chef_platter_uwide.bmp,chef_platter_nwide.bmp,Target,16
F33,Le plongeur tient le troph&eacutee,,,List17,NA,f_diver_trophy.bmp,f_diver_bag.bmp,Filler,17
F47,Le musicien joue de la harpe,,,List17,NA,f_performer_harp.bmp,f_performer_flute.bmp,Filler,18
F26,L'athl&egravete boit le soda,,,List17,NA,f_athlete_soda.bmp,f_juggler_soda.bmp,Filler,19
P22,Chaque serveur ne vole pas le sac &agrave main,chaque,negwide,List17,vole,waiter_handbag_nwide.bmp,waiter_handbag_foil.bmp,Prime,20
T22,Chaque musicien ne vole pas le piano,chaque,negwide,List17,vole,musician_piano_uwide.bmp,musician_piano_nwide.bmp,Target,21
F20,Le grimpeur mange la cuisse de poulet,,,List17,NA,f_climber_drumstick.bmp,f_convict_drumstick.bmp,Filler,22
T20,Chaque jardinier ne regarde pas la pelle,,baseline,List17,regarde,gardener_spade_uwide.bmp,gardener_spade_nwide.bmp,Target,23
F19,Le spectateur mange le hamburger,,,List17,NA,f_spectator_burger.bmp,f_spectator_banana.bmp,Filler,24
F27,L'artiste boit la fl&ucircte de champagne,,,List17,NA,f_eccentric_champagne.bmp,f_eccentric_milkshake.bmp,Filler,25
T07,Chaque p&egravelerin ne monte pass sur l'&acircne,,baseline,List17,monte,pilgrim_donkey_uwide.bmp,pilgrim_donkey_nwide.bmp,Target,26
F30,L'actrice fait tomber le micro,,,List17,NA,f_actress_microphone.bmp,f_reporter_microphone.bmp,Filler,27
F05,Le prince embrasse le crapaud,,,List17,NA,f_hunk_toad.bmp,f_hunk_kitten.bmp,Filler,28
T17,Chaque hippie ne frappe pas le voyageur,,baseline,List17,frappe,hippie_backpacker_uwide.bmp,hippie_backpacker_nwide.bmp,Target,29
F29,Le joueur de cricket fait tomber la casquette,,,List17,NA,f_cricketer_hat.bmp,f_cricketer_ball.bmp,Filler,30
P24,Chaque gar&ccedilon ne regarde pas le golfeur,chaque,negwide,List17,regarde,boy_golfer_nwide.bmp,boy_golfer_foil.bmp,Prime,31
T24,Chaque serveuse ne regarde pas le client,chaque,negwide,List17,regarde,waitress_customer_uwide.bmp,waitress_customer_nwide.bmp,Target,32
F46,Le g&eacutenie joue de la trompette,,,List17,NA,f_genius_trumpet.bmp,f_bum_trumpet.bmp,Filler,33
F08,Le coureur embrasse le poissonnier,,,List17,NA,f_jogger_fishmonger.bmp,f_schoolmistress_fishmonger.bmp,Filler,34
P01,Chaque requin n'attaque pas le surfeur,chaque,uwide,List17,attaque,shark_surfer_uwide.bmp,shark_surfer_foil.bmp,Prime,35
T01,Chaque &eacutetudiant n'attaque pas le professeur,chaque,uwide,List17,attaque,student_professor_uwide.bmp,student_professor_nwide.bmp,Target,36
F42,L'aristocrate sent le cigare,,,List17,NA,f_pope_cigar.bmp,f_aristocrat_cigar.bmp,Filler,37
